@@,name,position
+++,Valerie Woods,Speaker
+++,Rodwell Ferguson,Minister of Public Utilities & Logistics
+++,Ramon “Monchi” Cervantes,"Minister of State in the Ministry of Foreign Affairs, Foreign Trade & Immigration"
+++,Ramiro Ramirez,"Minister of State in the Ministry of Rural Transformation, Community Development, Labour and Local Government"
+++,Oscar Requena,"Minister of Rural Transformation, Community Development, Local Government & Labour"
+++,Oscar Mira,Minister of State in the Ministry of National Defence & Border Security
+++,Orlando Habet,"Minister of Sustainable Development, Climate Change & Disaster Risk Management"
+++,Michel Chebat,Minister of Health & Wellness
+++,Michael Espat,"Minister of State in the Ministry of Finance, Economic Development & Investment"
+++,Kevin Bernard,"Minister of Youth, Sports & E-Governance"
+++,Kareem Musa,Minister of Home Affairs & New Growth Industries
+++,Julius Espat,Minister of Infrastructure Development & Housing
+++,Jose Abelardo Mai,"Minister of Agriculture, Food Security, & Enterprise"
+++,John Briceño,"Minister of Finance, Economic Development & Investment"
+++,John Briceño,Prime Minister
+++,Henry Charles Usher,"Minister of Public Service, Constitutional & Political Reform"
+++,Gilroy Usher Sr.,"Minister of State in the Ministry of Public Utilities, Energy, and Logistics"
+++,Francis Fonseca,"Minister of Education, Culture, Science & Technology"
+++,Florencio Marin Jr.,Minister of National Defence & Border Security
+++,Elvia Vega-Samos,"Minister of State in the Ministry of Human Development, Families & Indigenous People's Affair"
+++,Dr. Hon. Louis Zabaneh,"Minister of State in the Ministry of Education, Culture, Science & Technology"
+++,Dolores Balderamos Garcia,"Minister of Human Development, Families & Indigenous People's Affairs"
+++,Cordel Hyde,"Deputy Prime Minister, Minister of Natural Resources, Petroleum & Mining"
+++,Anthony Mahler,Minister of Tourism & Diaspora Relations
+++,Abner ‘Andre’ Perez,Minister of The Blue Economy & Civil Aviation
