item,itemLabel,position,positionLabel,start,psid
Q109930959,Kevin Bernard,Q109930984,Minister of Health & Wellness,2022-01-10,Q109930959-1282BD92-BDE5-48CD-858D-36B24AF4C01A
Q109930990,Anthony Mahler,Q109930995,Minister of Tourism & Diaspora Relations,2020-11-16,Q109930990-FFFB9DCA-CB24-4C6A-8D51-943E29ECDAA2
Q109930999,Andre Perez,Q109931002,Minister of The Blue Economy & Civil Aviation,2020-11-16,Q109930999-EDE6B7E7-6D3C-4DFB-B3C9-65599EE1E905
Q109931006,Henry Charles Usher,Q109931013,"Minister of Public Service, Constitutional & Political Reform",2020-11-16,Q109931006-2BD40B7F-9E6C-46AE-A6AA-71E1AB84D3F3
Q16198058,Michel Chebat,Q109930927,Minister of Public Utilities & Logistics,2022-01-10,Q16198058-31BE9228-C30B-4BBC-879D-C8309193DE8F
Q24953658,Julius Espat,Q109930933,Minister of Infrastructure Development & Housing,2020-11-16,Q24953658-32AA70DE-A2DB-431F-9D3B-A85C17D929B1
Q24953659,Florencio Marin Jr.,Q109930942,Minister of National Defence & Border Security,2020-11-16,Q24953659-BEC893BB-A995-405E-899B-315609FDD96D
Q24953680,Jose Abelardo Mai,Q109930914,"Minister of Agriculture, Food Security, & Enterprise",2020-11-16,Q24953680-0B3F5E91-D8D8-4372-AC6C-D938943DB659
Q5289506,Dolores Balderamos-García,Q109930949,"Minister of Human Development, Families & Indigenous People's Affairs",2020-11-16,Q5289506-A37B658B-41F2-4196-BC74-96E1F733DCCF
Q5480967,Francis Fonseca,Q109930940,"Minister of Education, Culture, Science & Technology",2020-11-16,Q5480967-2E0798F8-ADAF-41D9-9A19-D95E9C3AE1FF
Q58896061,Kareem Musa,Q109930965,Minister of Home Affairs & New Growth Industries,2020-11-16,Q58896061-FAEBF90A-2536-4542-8F52-FDCC74596307
Q58896069,Cordel Hyde,Q109930894,Deputy Prime Minister of Belize,2020-11-16,Q58896069-98BC8FC8-29A0-45A9-A690-56463676476C
Q58896069,Cordel Hyde,Q109930897,"Minister of Natural Resources, Petroleum & Mining",2020-11-16,Q58896069-5B206958-5DFD-44B3-90CB-0A9BDC4072EC
Q6266369,Johnny Briceño,Q109930904,"Minister of Finance, Economic Development & Investment",2020-11-16,Q6266369-3539D3E6-547E-454E-B482-43CB4B4CAFBA
Q6266369,Johnny Briceño,Q862638,Prime Minister of Belize,2020-11-12,Q6266369-7A1728DD-6E93-4104-A3F7-16A5416B9A41
Q7357499,Rodwell Ferguson,Q110553345,"Minister of Youth, Sports and Transport",2022-01-10,Q7357499-3B313A12-41D5-4767-8D73-1E7FC0AE3341
Q86003169,Oscar Ruben Requena,Q109930946,"Minister of Rural Transformation, Community Development, Local Government & Labour",2020-11-16,Q86003169-DD85F132-23D7-40ED-9BF3-4EB2DEFAA49D
Q86003939,Orlando Habet,Q109930969,"Minister of Sustainable Development, Climate Change & Disaster Risk Management",2020-11-16,Q86003939-E53B847F-3CA0-4371-815F-9ECDD1E6B3E5
